company_id,year,operating_activity,investing_activity,financing_activity,capital_allocation
ABB,2012.0,101.0,-59.0,-42.0,Reinvestor
ABB,2014.0,155.0,-144.0,-42.0,Reinvestor
ABB,2015.0,215.0,-187.0,-58.0,Reinvestor
ABB,2016.0,249.0,-77.0,-80.0,Reinvestor
ABB,2017.0,307.0,-155.0,-90.0,Reinvestor
ABB,2018.0,153.0,-215.0,-102.0,Reinvestor
ABB,2019.0,499.0,-257.0,-143.0,Reinvestor
ABB,2020.0,626.0,-401.0,-217.0,Reinvestor
ABB,2021.0,727.0,-72.0,-582.0,Reinvestor
ABB,2022.0,948.0,-396.0,-637.0,Reinvestor
ABB,2023.0,893.0,-148.0,-639.0,Reinvestor
ABB,2024.0,1213.0,-416.0,-745.0,Reinvestor
ADANIENSOL,2014.0,0.0,0.0,0.0,Cash Accumulator
ADANIENSOL,2015.0,-35.0,-1864.0,1902.0,Growth Funded by Debt
ADANIENSOL,2016.0,1544.0,-816.0,-722.0,Reinvestor
ADANIENSOL,2017.0,2189.0,-1730.0,-455.0,Reinvestor
ADANIENSOL,2018.0,2198.0,-3192.0,1589.0,Mixed
ADANIENSOL,2019.0,2591.0,-3050.0,38.0,Mixed
ADANIENSOL,2020.0,5437.0,-5643.0,1250.0,Mixed
ADANIENSOL,2021.0,3784.0,-4009.0,-745.0,Reinvestor
ADANIENSOL,2022.0,4097.0,-3936.0,-235.0,Reinvestor
ADANIENSOL,2023.0,3777.0,-4699.0,923.0,Mixed
ADANIENSOL,2024.0,6038.0,-4943.0,-543.0,Reinvestor
ADANIENT,2013.0,7666.0,-14790.0,7199.0,Mixed
ADANIENT,2014.0,8228.0,-8007.0,-1109.0,Reinvestor
ADANIENT,2015.0,8532.0,-11465.0,3445.0,Mixed
ADANIENT,2016.0,5112.0,-1825.0,-3448.0,Reinvestor
ADANIENT,2017.0,774.0,-1460.0,716.0,Mixed
ADANIENT,2018.0,2942.0,-7649.0,5120.0,Mixed
ADANIENT,2019.0,3236.0,2487.0,-6158.0,Liquidating Assets
ADANIENT,2020.0,2454.0,-1082.0,-221.0,Reinvestor
ADANIENT,2021.0,4043.0,-8611.0,3109.0,Mixed
ADANIENT,2022.0,1385.0,-17041.0,15901.0,Mixed
ADANIENT,2023.0,17626.0,-15459.0,-1198.0,Reinvestor
ADANIENT,2024.0,10312.0,-18767.0,8879.0,Mixed
ADANIGREEN,2017.0,28.0,-1511.0,1559.0,Mixed
ADANIGREEN,2018.0,649.0,-4428.0,3942.0,Mixed
ADANIGREEN,2019.0,1625.0,-2666.0,1045.0,Mixed
ADANIGREEN,2020.0,1965.0,-3743.0,2161.0,Mixed
ADANIGREEN,2021.0,1601.0,-9137.0,7083.0,Mixed
ADANIGREEN,2022.0,3127.0,-18730.0,15986.0,Mixed
ADANIGREEN,2023.0,7265.0,-3857.0,-2973.0,Reinvestor
ADANIGREEN,2024.0,7713.0,-21060.0,13953.0,Mixed
ADANIPORTS,2013.0,1379.0,-5136.0,4138.0,Mixed
ADANIPORTS,2014.0,1132.0,-2510.0,772.0,Mixed
ADANIPORTS,2015.0,3057.0,-2485.0,-237.0,Reinvestor
ADANIPORTS,2016.0,2381.0,-4153.0,2170.0,Mixed
ADANIPORTS,2017.0,4063.0,-2629.0,-1325.0,Reinvestor
ADANIPORTS,2018.0,5608.0,-3846.0,-1889.0,Reinvestor
ADANIPORTS,2019.0,6029.0,-4368.0,2313.0,Mixed
ADANIPORTS,2020.0,7402.0,-749.0,-4256.0,Reinvestor
ADANIPORTS,2021.0,7556.0,-14064.0,3514.0,Mixed
ADANIPORTS,2022.0,10420.0,-5493.0,-586.0,Reinvestor
ADANIPORTS,2023.0,11900.0,-16716.0,-2734.0,Reinvestor
ADANIPORTS,2024.0,15018.0,-6768.0,-7800.0,Reinvestor
ADANIPOWER,2013.0,3001.0,-4064.0,861.0,Mixed
ADANIPOWER,2014.0,3238.0,-4700.0,1631.0,Mixed
ADANIPOWER,2015.0,5824.0,-4737.0,-1144.0,Reinvestor
ADANIPOWER,2016.0,5257.0,-2692.0,-2713.0,Reinvestor
ADANIPOWER,2017.0,4725.0,-1212.0,-3539.0,Reinvestor
ADANIPOWER,2018.0,5101.0,-520.0,-4600.0,Reinvestor
ADANIPOWER,2019.0,5610.0,-984.0,-4663.0,Reinvestor
ADANIPOWER,2020.0,5598.0,-2304.0,-2377.0,Reinvestor
ADANIPOWER,2021.0,7014.0,-2188.0,-5655.0,Reinvestor
ADANIPOWER,2022.0,10233.0,774.0,-10338.0,Liquidating Assets
ADANIPOWER,2023.0,8431.0,1545.0,-10408.0,Liquidating Assets
ADANIPOWER,2024.0,14170.0,3481.0,-16864.0,Liquidating Assets
AMBUJACEM,2012.0,1860.0,-388.0,-509.0,Reinvestor
AMBUJACEM,2013.0,1267.0,-496.0,-672.0,Reinvestor
AMBUJACEM,2014.0,1675.0,-456.0,-721.0,Reinvestor
AMBUJACEM,2015.0,1557.0,-83.0,-900.0,Reinvestor
AMBUJACEM,2016.0,2810.0,-4165.0,-958.0,Reinvestor
AMBUJACEM,2017.0,3416.0,-738.0,-1015.0,Reinvestor
AMBUJACEM,2018.0,1703.0,-765.0,-719.0,Reinvestor
AMBUJACEM,2019.0,4739.0,-1191.0,-629.0,Reinvestor
AMBUJACEM,2020.0,4832.0,-1317.0,-3956.0,Reinvestor
AMBUJACEM,2021.0,5309.0,-2007.0,-516.0,Reinvestor
AMBUJACEM,2023.0,735.0,-14481.0,2931.0,Mixed
AMBUJACEM,2024.0,5646.0,-8941.0,5689.0,Mixed
APOLLOHOSP,2013.0,443.0,-733.0,373.0,Mixed
APOLLOHOSP,2014.0,373.0,-356.0,-63.0,Reinvestor
APOLLOHOSP,2015.0,470.0,-759.0,392.0,Mixed
APOLLOHOSP,2016.0,597.0,-888.0,330.0,Mixed
APOLLOHOSP,2017.0,623.0,-1152.0,477.0,Mixed
APOLLOHOSP,2018.0,537.0,-405.0,-108.0,Reinvestor
APOLLOHOSP,2019.0,905.0,-711.0,-215.0,Reinvestor
APOLLOHOSP,2020.0,1293.0,-289.0,-910.0,Reinvestor
APOLLOHOSP,2021.0,1265.0,-880.0,-340.0,Reinvestor
APOLLOHOSP,2022.0,1696.0,-747.0,-792.0,Reinvestor
APOLLOHOSP,2023.0,1377.0,-857.0,-633.0,Reinvestor
APOLLOHOSP,2024.0,1920.0,-1537.0,-311.0,Reinvestor
ASIANPAINT,2013.0,1187.0,-463.0,-601.0,Reinvestor
ASIANPAINT,2014.0,1402.0,-586.0,-626.0,Reinvestor
ASIANPAINT,2015.0,1188.0,-465.0,-576.0,Reinvestor
ASIANPAINT,2016.0,2243.0,-866.0,-849.0,Reinvestor
ASIANPAINT,2017.0,1527.0,-681.0,-756.0,Reinvestor
ASIANPAINT,2018.0,2113.0,-1556.0,-1379.0,Reinvestor
ASIANPAINT,2019.0,2470.0,-918.0,-1117.0,Reinvestor
ASIANPAINT,2020.0,3038.0,-518.0,-2871.0,Reinvestor
ASIANPAINT,2021.0,3683.0,-541.0,-650.0,Reinvestor
ASIANPAINT,2022.0,986.0,-317.0,-1808.0,Reinvestor
ASIANPAINT,2023.0,4193.0,-1282.0,-2140.0,Reinvestor
ASIANPAINT,2024.0,6104.0,-2548.0,-2982.0,Reinvestor
BAJAJ-AUTO,2013.0,2218.0,-1394.0,-1445.0,Reinvestor
BAJAJ-AUTO,2014.0,3502.0,-2072.0,-1496.0,Reinvestor
BAJAJ-AUTO,2015.0,2114.0,-380.0,-1644.0,Reinvestor
BAJAJ-AUTO,2016.0,3690.0,-68.0,-3384.0,Reinvestor
BAJAJ-AUTO,2017.0,3267.0,-3610.0,-190.0,Reinvestor
BAJAJ-AUTO,2018.0,4328.0,-1954.0,-1885.0,Reinvestor
BAJAJ-AUTO,2019.0,2487.0,-273.0,-2074.0,Reinvestor
BAJAJ-AUTO,2020.0,3850.0,1766.0,-6247.0,Liquidating Assets
BAJAJ-AUTO,2021.0,3120.0,-2869.0,-20.0,Reinvestor
BAJAJ-AUTO,2022.0,4197.0,276.0,-4056.0,Liquidating Assets
BAJAJ-AUTO,2023.0,5277.0,1211.0,-7181.0,Liquidating Assets
BAJAJ-AUTO,2024.0,6558.0,-72.0,-6167.0,Reinvestor
AXISBANK,2013.0,2573.0,-10939.0,14931.0,Mixed
AXISBANK,2014.0,14464.0,-14166.0,7785.0,Mixed
AXISBANK,2015.0,-15162.0,-7972.0,31045.0,Growth Funded by Debt
AXISBANK,2016.0,-34495.0,9211.0,22495.0,Distress Signal
AXISBANK,2017.0,32209.0,-12458.0,-2487.0,Reinvestor
AXISBANK,2018.0,-38390.0,-10007.0,41342.0,Growth Funded by Debt
AXISBANK,2019.0,37125.0,-18674.0,5643.0,Mixed
AXISBANK,2020.0,30416.0,-9485.0,8865.0,Mixed
AXISBANK,2021.0,12633.0,-54288.0,7279.0,Mixed
AXISBANK,2022.0,28137.0,-27112.0,47894.0,Mixed
AXISBANK,2023.0,22075.0,-32351.0,6641.0,Mixed
AXISBANK,2024.0,-5555.0,-9001.0,22341.0,Growth Funded by Debt
BAJAJFINSV,2013.0,-6922.0,2953.0,4592.0,Distress Signal
BAJAJFINSV,2014.0,-9807.0,3764.0,6521.0,Distress Signal
BAJAJFINSV,2015.0,-10731.0,3709.0,6839.0,Distress Signal
BAJAJFINSV,2016.0,-9795.0,-886.0,11602.0,Growth Funded by Debt
BAJAJFINSV,2017.0,-10922.0,151.0,12513.0,Distress Signal
BAJAJFINSV,2018.0,-19580.0,-922.0,19590.0,Growth Funded by Debt
BAJAJFINSV,2019.0,-27076.0,-6903.0,34535.0,Growth Funded by Debt
BAJAJFINSV,2020.0,-23369.0,-9948.0,34479.0,Growth Funded by Debt
BAJAJFINSV,2021.0,4547.0,-3684.0,1687.0,Mixed
BAJAJFINSV,2022.0,-33670.0,1445.0,32326.0,Distress Signal
BAJAJFINSV,2023.0,-39480.0,-13945.0,51016.0,Growth Funded by Debt
BAJAJFINSV,2024.0,-68674.0,-10960.0,82709.0,Growth Funded by Debt
BAJAJHLDNG,2013.0,473.0,-369.0,-332.0,Reinvestor
BAJAJHLDNG,2014.0,872.0,-519.0,-326.0,Reinvestor
BAJAJHLDNG,2015.0,796.0,-464.0,-391.0,Reinvestor
BAJAJHLDNG,2016.0,1147.0,1019.0,-761.0,Liquidating Assets
BAJAJHLDNG,2017.0,-923.0,-372.0,-110.0,Pre-Revenue
BAJAJHLDNG,2018.0,1631.0,-1123.0,-434.0,Reinvestor
BAJAJHLDNG,2019.0,628.0,-163.0,-536.0,Reinvestor
BAJAJHLDNG,2020.0,1920.0,-800.0,-1028.0,Reinvestor
BAJAJHLDNG,2021.0,272.0,-308.0,-37.0,Reinvestor
BAJAJHLDNG,2022.0,1610.0,-151.0,-1460.0,Reinvestor
BAJAJHLDNG,2023.0,1728.0,-137.0,-1587.0,Reinvestor
BAJAJHLDNG,2024.0,1941.0,-472.0,-1455.0,Reinvestor
BAJFINANCE,2015.0,-7064.0,-360.0,6867.0,Growth Funded by Debt
BAJFINANCE,2016.0,-9870.0,-687.0,11656.0,Growth Funded by Debt
BAJFINANCE,2017.0,-10439.0,-3047.0,12513.0,Growth Funded by Debt
BAJFINANCE,2018.0,-20566.0,1075.0,19503.0,Distress Signal
BAJFINANCE,2019.0,-29062.0,-5379.0,34449.0,Growth Funded by Debt
BAJFINANCE,2020.0,-24412.0,-8758.0,34167.0,Growth Funded by Debt
BAJFINANCE,2021.0,-807.0,-429.0,1741.0,Growth Funded by Debt
BAJFINANCE,2022.0,-37090.0,6347.0,32275.0,Distress Signal
BAJFINANCE,2023.0,-42112.0,-10394.0,50675.0,Growth Funded by Debt
BAJFINANCE,2024.0,-72760.0,-7171.0,82415.0,Growth Funded by Debt
BANKBARODA,2013.0,23196.0,-514.0,-790.0,Reinvestor
BANKBARODA,2014.0,42233.0,-730.0,5151.0,Mixed
BANKBARODA,2015.0,17838.0,-556.0,-6.0,Reinvestor
BANKBARODA,2016.0,-10011.0,-4005.0,-616.0,Pre-Revenue
BANKBARODA,2017.0,17865.0,-551.0,-198.0,Reinvestor
BANKBARODA,2018.0,-59692.0,-414.0,3413.0,Growth Funded by Debt
BANKBARODA,2019.0,-1449.0,-2537.0,4449.0,Growth Funded by Debt
BANKBARODA,2020.0,18531.0,-139.0,14729.0,Mixed
BANKBARODA,2021.0,-887.0,-471.0,-986.0,Pre-Revenue
BANKBARODA,2022.0,6210.0,-3645.0,-998.0,Reinvestor
BANKBARODA,2023.0,-21354.0,-1096.0,-5405.0,Pre-Revenue
BANKBARODA,2024.0,-6274.0,-1285.0,5476.0,Growth Funded by Debt
BHARTIARTL,2013.0,22608.0,-18676.0,-4566.0,Reinvestor
BHARTIARTL,2014.0,26233.0,-25181.0,2774.0,Mixed
BHARTIARTL,2015.0,28059.0,-22301.0,-9672.0,Reinvestor
BHARTIARTL,2016.0,27942.0,-14091.0,-11946.0,Reinvestor
BHARTIARTL,2017.0,28280.0,-30680.0,-351.0,Reinvestor
BHARTIARTL,2018.0,29854.0,-27940.0,1920.0,Mixed
BHARTIARTL,2019.0,20070.0,-28286.0,9464.0,Mixed
BHARTIARTL,2020.0,18129.0,-29598.0,19144.0,Mixed
BHARTIARTL,2021.0,48205.0,-27286.0,-24910.0,Reinvestor
BHARTIARTL,2022.0,55017.0,-41478.0,-15203.0,Reinvestor
BHARTIARTL,2023.0,65325.0,-39232.0,-24470.0,Reinvestor
BHARTIARTL,2024.0,78898.0,-51089.0,-27778.0,Reinvestor
BEL,2013.0,-1539.0,1753.0,-158.0,Unknown
