company_id,start_year,end_year,sales_cagr_pct
SIEMENS,2011.0,2024.0,4.89
ABB,2012.0,,
ADANIENT,2013.0,,
ADANIGREEN,2017.0,,
ADANIPORTS,2013.0,,
ADANIPOWER,2013.0,,
AMBUJACEM,2012.0,,
APOLLOHOSP,2013.0,,
ASIANPAINT,2013.0,,
ATGL,2018.0,,
BAJAJ-AUTO,2013.0,,
AXISBANK,2013.0,,
BAJAJFINSV,2013.0,,
BAJAJHLDNG,2013.0,,
BAJFINANCE,2015.0,,
BANKBARODA,2013.0,,
BHARTIARTL,2013.0,,
BEL,2013.0,,
BHEL,2013.0,,
BOSCHLTD,2012.0,,
BPCL,2013.0,,
BRITANNIA,2013.0,,
CANBK,2013.0,,
CHOLAFIN,2013.0,,
CIPLA,2013.0,,
COALINDIA,2013.0,,
DABUR,2013.0,,
DIVISLAB,2013.0,,
DLF,2013.0,,
DMART,2013.0,,
DRREDDY,2013.0,,
EICHERMOT,2012.0,,
GAIL,2013.0,,
GODREJCP,2013.0,,
GRASIM,2013.0,,
HAL,2013.0,,
HAVELLS,2013.0,,
HCLTECH,2013.0,,
HDFCBANK,2013.0,,
HDFCLIFE,2013.0,,
HEROMOTOCO,2014.0,,
HINDALCO,2013.0,,
HINDUNILVR,2013.0,,
ICICIBANK,2013.0,,
ICICIGI,2013.0,,
ICICIPRULI,2013.0,,
INDUSINDBK,2013.0,,
INFY,2013.0,,
IOC,2013.0,,
IRCTC,2015.0,,
IRFC,2013.0,,
ITC,2013.0,,
JINDALSTEL,2013.0,,
JIOFIN,2023.0,,
JSWENERGY,2013.0,,
JSWSTEEL,2013.0,,
KOTAKBANK,2013.0,,
LICI,2019.0,,
LODHA,2011.0,,
LT,2013.0,,
LTIM,2013.0,,
M&M,2013.0,,
MARUTI,2013.0,,
MOTHERSON,2013.0,,
NAUKRI,2013.0,,
NESTLEIND,2013.0,,
NHPC,2013.0,,
NTPC,2013.0,,
ONGC,2013.0,,
PFC,2013.0,,
PIDILITIND,2013.0,,
PNB,2013.0,,
POWERGRID,2013.0,,
RECLTD,2013.0,,
RELIANCE,2013.0,,
SBILIFE,2013.0,,
SBIN,2013.0,,
SHREECEM,2013.0,,
SHRIRAMFIN,2013.0,,
SUNPHARMA,2013.0,,
TATACONSUM,2013.0,,
TATAMOTORS,2013.0,,
TATAPOWER,2013.0,,
TATASTEEL,2013.0,,
TCS,2013.0,,
TECHM,2013.0,,
TITAN,2013.0,,
TORNTPHARM,2013.0,,
TRENT,2013.0,,
TVSMOTOR,2013.0,,
ULTRACEMCO,2013.0,,
UNIONBANK,2013.0,,
UNITDSPR,2013.0,,
VBL,2012.0,,
VEDL,2013.0,,
WIPRO,2013.0,,
ZOMATO,2018.0,,
ZYDUSLIFE,2013.0,,
INDIGO,2013.0,,
