company_id,year,ROE,EPS,OPM,Performance_Score
INDIGO,2015,4939.39,42481.0,1904.0,15291.256000000001
INDIGO,2013,17886.36,25647.0,855.0,15105.144
COALINDIA,2024,45.17,61.0,47971.0,14427.668
COALINDIA,2023,52.14,52.0,44232.0,13306.056
INDIGO,2014,10772.73,15454.0,433.0,9075.192
HDFCBANK,2023,15.94,82.0,29932.0,9010.576000000001
HINDALCO,2022,17.56,61.0,28347.0,8529.424
COALINDIA,2019,66.01,28.0,25007.0,7536.9039999999995
COALINDIA,2022,40.28,28.0,24721.0,7440.811999999999
HINDALCO,2024,9.57,45.0,23872.0,7178.928
BEL,2015,17100.0,2.0,17.0,6845.700000000001
HINDALCO,2023,10.65,45.0,22666.0,6817.56
COALINDIA,2020,51.93,27.0,21581.0,6503.1720000000005
HDFCBANK,2022,15.43,69.0,20795.0,6265.372
BEL,2013,15183.33,1.0,11.0,6076.932000000001
BAJFINANCE,2024,18.84,233.0,19987.0,6073.535999999999
COALINDIA,2016,40.96,23.0,18714.0,5637.4839999999995
COALINDIA,2021,34.78,21.0,18628.0,5608.612
COALINDIA,2013,35.81,27.0,18087.0,5448.523999999999
BEL,2014,13600.0,1.0,14.0,5444.5
COALINDIA,2014,35.64,24.0,17766.0,5351.256
INDIGO,2024,892.57,212.0,16331.0,5319.928
HINDALCO,2021,5.23,16.0,17559.0,5274.592
COALINDIA,2015,34.02,22.0,17343.0,5223.107999999999
HDFCBANK,2021,15.18,58.0,16848.0,5077.871999999999
HDFCBANK,2019,14.61,41.0,16592.0,4995.744
BAJFINANCE,2023,21.17,190.0,16018.0,4870.8679999999995
HINDALCO,2019,9.56,24.0,15511.0,4664.3240000000005
BEL,2016,11141.67,2.0,19.0,4462.968000000001
HINDUNILVR,2024,20.07,44.0,14659.0,4418.928
HDFCBANK,2020,15.48,50.0,14593.0,4399.092
HINDALCO,2020,6.460000000000001,17.0,14306.0,4299.484
HINDUNILVR,2023,20.16,43.0,14147.0,4265.063999999999
AXISBANK,2023,7.380000000000001,31.0,13857.0,4169.352
HINDALCO,2018,11.09,27.0,13695.0,4121.036
BEL,2017,10153.33,2.0,21.0,4068.2320000000004
HDFCBANK,2018,16.94,36.0,13374.0,4029.776
HINDUNILVR,2022,18.12,38.0,12857.0,3875.748
COALINDIA,2017,37.85,15.0,12448.0,3754.0399999999995
HINDALCO,2017,4.09,8.0,12317.0,3699.136
AXISBANK,2024,15.83,81.0,11952.0,3616.232
