company_id,year,eps
INDIGO,2015.0,42481.0
INDIGO,2013.0,25647.0
INDIGO,2014.0,15454.0
NAUKRI,2022.0,991.0
BOSCHLTD,2024.0,844.0
SHREECEM,2023.0,664.0
BAJAJHLDNG,2024.0,653.0
SHREECEM,2021.0,646.0
BOSCHLTD,2017.0,570.0
ABB,2024.0,565.0
BOSCHLTD,2019.0,542.0
BOSCHLTD,2016.0,488.0
BOSCHLTD,2023.0,483.0
SHREECEM,2024.0,480.0
BOSCHLTD,2018.0,449.0
ABB,2023.0,447.0
BAJAJHLDNG,2023.0,436.0
MARUTI,2024.0,429.0
SHREECEM,2020.0,426.0
BOSCHLTD,2015.0,426.0
BOSCHLTD,2022.0,413.0
SHREECEM,2018.0,397.0
SHREECEM,2017.0,384.0
ABB,2022.0,376.0
BAJAJHLDNG,2022.0,364.0
SHREECEM,2022.0,352.0
SHREECEM,2016.0,328.0
BAJAJHLDNG,2021.0,328.0
ABB,2021.0,325.0
LTIM,2014.0,309.0
BOSCHLTD,2012.0,305.0
SHREECEM,2019.0,289.0
SHREECEM,2013.0,288.0
BOSCHLTD,2013.0,282.0
ABB,2020.0,279.0
BAJAJ-AUTO,2024.0,276.0
BAJAJHLDNG,2019.0,274.0
MARUTI,2023.0,274.0
BAJAJHLDNG,2020.0,269.0
MARUTI,2018.0,261.0
ULTRACEMCO,2022.0,254.0
MARUTI,2019.0,253.0
MARUTI,2017.0,249.0
ULTRACEMCO,2024.0,243.0
BAJAJHLDNG,2018.0,239.0
LTIM,2015.0,238.0
BAJFINANCE,2024.0,233.0
SHREECEM,2014.0,226.0
LTIM,2022.0,225.0
IRFC,2013.0,222.0
BAJAJHLDNG,2017.0,222.0
BOSCHLTD,2020.0,220.0
BAJAJ-AUTO,2023.0,214.0
BAJAJ-AUTO,2022.0,213.0
INDIGO,2024.0,212.0
ABB,2019.0,212.0
IRFC,2015.0,212.0
IRFC,2014.0,209.0
BAJAJHLDNG,2016.0,204.0
ULTRACEMCO,2020.0,199.0
BAJFINANCE,2023.0,190.0
ULTRACEMCO,2021.0,189.0
ABB,2018.0,189.0
IRFC,2016.0,188.0
MARUTI,2020.0,188.0
HEROMOTOCO,2024.0,187.0
HEROMOTOCO,2018.0,186.0
BAJAJHLDNG,2015.0,182.0
HEROMOTOCO,2020.0,182.0
MARUTI,2016.0,182.0
BAJAJ-AUTO,2020.0,180.0
BAJAJHLDNG,2014.0,179.0
HEROMOTOCO,2017.0,179.0
ULTRACEMCO,2023.0,175.0
LTIM,2013.0,174.0
HEROMOTOCO,2019.0,172.0
BAJAJ-AUTO,2019.0,170.0
BAJAJ-AUTO,2021.0,168.0
BAJAJHLDNG,2013.0,167.0
BOSCHLTD,2021.0,164.0
HEROMOTOCO,2016.0,157.0
LTIM,2024.0,155.0
LTIM,2023.0,149.0
EICHERMOT,2024.0,146.0
BAJAJ-AUTO,2018.0,146.0
HEROMOTOCO,2021.0,146.0
MARUTI,2021.0,145.0
IRFC,2017.0,143.0
HEROMOTOCO,2023.0,141.0
BAJAJ-AUTO,2017.0,141.0
BAJAJ-AUTO,2016.0,140.0
ABB,2017.0,130.0
MARUTI,2022.0,128.0
TCS,2024.0,127.0
MARUTI,2015.0,126.0
HAL,2013.0,124.0
SHREECEM,2015.0,122.0
ABB,2016.0,120.0
HEROMOTOCO,2015.0,118.0
BAJAJ-AUTO,2014.0,117.0
BAJFINANCE,2022.0,116.0
HEROMOTOCO,2022.0,116.0
INDUSINDBK,2024.0,115.0
TCS,2023.0,115.0
HAL,2024.0,114.0
DIVISLAB,2022.0,112.0
LTIM,2021.0,111.0
GRASIM,2022.0,111.0
NAUKRI,2021.0,110.0
BAJAJ-AUTO,2013.0,108.0
ABB,2015.0,108.0
EICHERMOT,2023.0,107.0
TCS,2022.0,105.0
BAJAJ-AUTO,2015.0,105.0
HEROMOTOCO,2014.0,105.0
GRASIM,2023.0,100.0
ULTRACEMCO,2017.0,99.0
ULTRACEMCO,2013.0,98.0
BRITANNIA,2023.0,96.0
LT,2024.0,95.0
INDUSINDBK,2023.0,95.0
TATAMOTORS,2024.0,94.0
MARUTI,2014.0,94.0
ABB,2014.0,93.0
KOTAKBANK,2024.0,92.0
M&M,2024.0,91.0
ULTRACEMCO,2016.0,90.0
BRITANNIA,2024.0,89.0
ULTRACEMCO,2019.0,88.0
TCS,2021.0,88.0
LTIM,2019.0,87.0
BAJFINANCE,2020.0,87.0
LTIM,2020.0,87.0
HAL,2023.0,87.0
TCS,2020.0,86.0
JSWSTEEL,2022.0,85.0
GRASIM,2024.0,85.0
HDFCBANK,2024.0,84.0
TCS,2019.0,84.0
M&M,2023.0,83.0
HDFCBANK,2023.0,82.0
LT,2021.0,82.0
SIEMENS,2016.0,82.0
MARUTI,2013.0,82.0
AXISBANK,2024.0,81.0
EICHERMOT,2019.0,81.0
ULTRACEMCO,2018.0,81.0
ULTRACEMCO,2014.0,80.0
BRITANNIA,2021.0,77.0
SIEMENS,2024.0,76.0
HAL,2022.0,76.0
ULTRACEMCO,2015.0,76.0
SBIN,2024.0,75.0
LT,2023.0,75.0
KOTAKBANK,2023.0,75.0
DIVISLAB,2021.0,75.0
BAJFINANCE,2021.0,73.0
APOLLOHOSP,2022.0,73.0
EICHERMOT,2018.0,72.0
DIVISLAB,2023.0,69.0
BAJFINANCE,2019.0,69.0
HDFCBANK,2022.0,69.0
ABB,2012.0,68.0
LT,2020.0,68.0
TCS,2018.0,67.0
EICHERMOT,2020.0,67.0
DRREDDY,2024.0,67.0
TCS,2017.0,67.0
GRASIM,2017.0,66.0
LICI,2024.0,66.0
LTIM,2018.0,65.0
LICI,2023.0,65.0
GRASIM,2020.0,65.0
INDUSINDBK,2020.0,64.0
APOLLOHOSP,2024.0,63.0
INFY,2024.0,63.0
LT,2019.0,63.0
BRITANNIA,2022.0,63.0
ICICIBANK,2024.0,63.0
GRASIM,2021.0,63.0
SBIN,2023.0,62.0
LT,2022.0,62.0
BPCL,2024.0,62.0
TCS,2016.0,62.0
KOTAKBANK,2022.0,61.0
EICHERMOT,2022.0,61.0
HINDALCO,2022.0,61.0
COALINDIA,2024.0,61.0
EICHERMOT,2017.0,61.0
INDUSINDBK,2018.0,60.0
INDUSINDBK,2022.0,60.0
PFC,2024.0,60.0
M&M,2018.0,60.0
DIVISLAB,2024.0,60.0
INFY,2023.0,58.0
BRITANNIA,2020.0,58.0
INDIGO,2018.0,58.0
HDFCBANK,2021.0,58.0
HCLTECH,2024.0,58.0
