rank,company_id,Performance_Score,growth_score,risk_score,overall_score,value_at_risk,investment_category,recommendation
1,COALINDIA,14427.668,-3.7925291207498746,10803.945328491076,3068.753482684969,-4.77,High Risk,SELL
2,BAJFINANCE,6073.535999999999,7.91324871131858,7672.010722258401,514.181356484361,6.61,High Risk,SELL
3,HINDUNILVR,4418.928,2.342267181420356,5183.738846451552,472.4562819006094,0.96,High Risk,SELL
12,INDIGO,5319.928,-5.855329215445411,8950.814262797996,-111.78173092490488,-20.53,High Risk,SELL
49,INDUSINDBK,933.6,-0.8536582482709503,5628.239135422453,-1033.918564242508,3.79,High Risk,SELL
55,LTIM,61.06,1.7195035452173686,5117.616834259258,-1254.3783823239885,3.03,High Risk,SELL
56,TATAPOWER,13.992,2.477463189214124,5221.891967671393,-1299.009079801623,-9.05,High Risk,SELL
57,ADANIPOWER,46.312,-12.222587545374338,5356.802016221054,-1324.953609696145,-10.52,High Risk,SELL
58,TECHM,13.496,23.36467010411218,5618.714688986151,-1391.1026377100984,-0.58,High Risk,SELL
59,JINDALSTEL,28.764,-6.209242266586657,5611.372475658544,-1393.5107537079414,-13.51,High Risk,SELL
60,ITC,27.04,2.559972352367238,5785.941654071009,-1434.7734231944237,-0.16,High Risk,SELL
61,AXISBANK,3616.232,6.582783049496039,11654.917495790312,-1464.9325998802544,2.04,High Risk,SELL
62,TITAN,29.588,-0.2528137350658772,6157.30196013452,-1527.5787748409032,-0.86,High Risk,SELL
63,DMART,19.524,7.961571449840136,7124.151481866862,-1770.4417204592714,5.64,High Risk,SELL
64,WIPRO,0.0,4.521831194680896,7291.62648721412,-1821.323980885392,-1.37,High Risk,SELL
65,ULTRACEMCO,82.952,-4.063967251006663,7483.517034141175,-1839.120847073146,0.74,High Risk,SELL
66,BANKBARODA,1247.704,4.650826576239381,11902.907563655332,-2475.0175016121493,-4.21,High Risk,SELL
67,PNB,0.0,26.08205855282825,10067.088593741551,-2507.643427941898,-6.1,High Risk,SELL
68,HINDALCO,7178.928,10.68167614567165,21578.457140306564,-2519.304498425656,-7.19,High Risk,SELL
69,MOTHERSON,8.52,18.94194286432095,10236.738568656814,-2549.146962161691,-4.91,High Risk,SELL
70,M&M,40.116,4.369179148654077,10543.304441274016,-2618.250497616475,-14.5,High Risk,SELL
71,BHARTIARTL,23.644,26.04161136868558,10762.613073594392,-2672.081104419558,-7.28,High Risk,SELL
72,ICICIPRULI,-543.8079999999999,0.1406748623513074,10003.514059098636,-2718.352478572836,-43.9,High Risk,SELL
73,PFC,39.564,5.60556099160877,11229.474398777238,-2789.5810533472463,0.57,High Risk,SELL
74,UNIONBANK,12.556,10.047001876986888,11580.187818799192,-2886.5081040428527,-0.48,High Risk,SELL
75,ADANIENT,15.412,35.438953364296474,12061.88849285094,-2996.903689535231,-34.68,High Risk,SELL
76,HDFCLIFE,165.69199999999998,4.11658960081979,12380.76024164572,-3027.472454051143,-28.42,High Risk,SELL
77,HCLTECH,33.204,5.464325835670632,12420.545351634302,-3089.942223866091,-4.12,High Risk,SELL
78,KOTAKBANK,-3981.396,15.040469112373964,6503.411426724445,-3213.1470924917803,0.66,High Risk,SELL
79,MARUTI,138.9,2.5266807331616112,13536.071575854628,-3327.5735557070507,-9.29,High Risk,SELL
80,GAIL,12.944,7.47275361167555,14159.096805086954,-3531.981137507652,-17.12,High Risk,SELL
81,CANBK,-2311.712,6.250157232688792,11253.311744528884,-3735.82518110078,-2.79,High Risk,SELL
82,BAJAJFINSV,36.74,8.127479116229374,15510.622213086092,-3860.1149355808425,-5.04,High Risk,SELL
83,GRASIM,36.28,-3.094255612745513,15850.504000554723,-3949.196989603142,-4.38,High Risk,SELL
84,INFY,38.016,3.837492009728768,16438.038157244417,-4092.960017107699,3.6,High Risk,SELL
85,SBILIFE,10.78,10.338334811980443,16450.35937461031,-4104.6594264683845,-9.39,High Risk,SELL
86,VEDL,0.0,44.24894045781975,16605.570728236453,-4135.9055528988765,-10.31,High Risk,SELL
87,NTPC,20.308,3.9326294944767097,16865.99502640728,-4206.999136278753,-2.98,High Risk,SELL
88,LT,63.768,4.765708811243679,20344.96681513458,-5059.0665056997095,1.23,High Risk,SELL
89,TATASTEEL,-0.3319999999999998,-62.01064748020629,20251.881829469647,-5084.806983985484,-18.34,High Risk,SELL
90,JSWSTEEL,20.22,-26.31727003920691,20775.94833987748,-5195.110129483092,-17.12,High Risk,SELL
91,ICICIBANK,-4219.504,10.773718593839789,17029.60099360343,-5941.431046893014,2.43,High Risk,SELL
92,TCS,66.576,4.380317770439053,24523.67512778848,-6102.755270727466,4.49,High Risk,SELL
93,TATAMOTORS,47.384,2.7213144268560248,29419.13807646876,-7334.878459067791,-8.47,High Risk,SELL
94,SBIN,0.0,5.600771857997181,36821.16494741387,-9203.330966703168,1.4,High Risk,SELL
95,BPCL,35.804,-19.768086813093696,39132.87018604802,-9775.814776896588,-20.68,High Risk,SELL
96,LICI,40.78,2.9104230525680315,46467.68706662049,-11599.591118586724,5.03,High Risk,SELL
97,HDFCBANK,-13374.564,10.506896616786625,36104.98924036127,-14372.395496274445,5.5,High Risk,SELL
98,IOC,21.412,-30.65593968840064,66711.45358285739,-16680.028174605286,-23.8,High Risk,SELL
99,ONGC,23.576,-5.802478278666571,74739.4628147089,-18677.46617107476,-23.14,High Risk,SELL
100,RELIANCE,24.684,2.281345212053369,92496.65188691526,-23113.4909009046,-24.25,High Risk,SELL
