company_id,Performance_Score,growth_score,risk_score,overall_score,rank,value_at_risk,investment_category
COALINDIA,14427.668,-3.7925291207498746,10803.945328491076,3068.753482684969,1,-4.77,High Risk
BAJFINANCE,6073.535999999999,7.91324871131858,7672.010722258401,514.181356484361,2,6.61,High Risk
HINDUNILVR,4418.928,2.342267181420356,5183.738846451552,472.4562819006094,3,0.96,High Risk
BEL,1906.62,8.16036404525655,2098.7757045189774,240.81020128609543,4,3.8,Value
HEROMOTOCO,1635.056,6.623680599323208,1747.9708141907313,219.3479846620803,5,-9.22,Value
CIPLA,1908.82,9.89438995656441,2345.399098106464,180.64126195818153,6,4.47,Value
HAL,1570.432,5.636569527934448,2261.6264271327445,64.73899255159097,7,2.89,Value
BAJAJHLDNG,228.932,1.385716895501718,218.83820336890443,37.3482500711995,8,-28.22,Value
CHOLAFIN,1383.684,12.022312735342506,2478.949967464321,-62.05608240871038,9,8.15,Value
ABB,189.988,4.281682970921395,577.5806258495247,-66.90136742255869,10,2.3,Value
NAUKRI,22.388,-0.9706014898072794,307.55609399061376,-68.27353401908599,11,-5.11,Stable
INDIGO,5319.928,-5.855329215445411,8950.814262797996,-111.78173092490488,12,-20.53,High Risk
NHPC,20.364,-5.826663521462718,474.9845918293863,-112.63988018985853,13,-9.59,Stable
UNITDSPR,0.0,1.5961738442636777,462.3235147147872,-115.02221783320452,14,-12.33,Stable
IRCTC,28.16,4.937341509326577,542.4477651892201,-122.61987176904074,15,-37.72,Stable
DLF,15.964,22.368317215345414,550.4811442959777,-123.40577504862354,16,-22.41,Growth
JSWENERGY,20.412,5.854775694165803,546.7069999390393,-126.4627784918018,17,-16.09,Stable
ATGL,0.0,3.1374301675977656,586.0721271027155,-145.41993121701967,18,-6.02,Stable
BOSCHLTD,265.356,-5.510550121812052,1142.838272644515,-181.49586070376296,19,-19.09,Value
DABUR,16.044,-0.9877845286365828,837.0797622477194,-203.19806514695264,20,-1.07,Stable
DIVISLAB,31.116,9.820968769917146,958.4088635427264,-223.7184768162106,21,-8.33,Stable
TORNTPHARM,33.66,7.116039295788347,997.799300757078,-233.49521143574356,22,-5.4,Stable
JIOFIN,26.56,2.4865019187008257,998.9012567270352,-238.2310385102135,23,206.9,Stable
GODREJCP,3.02,-7.541624430186892,996.8286037045028,-250.6387194766911,24,-1.54,Stable
PIDILITIND,25.112,6.847846732652891,1264.387310017475,-303.6552811479403,25,1.67,Stable
ICICIGI,791.088,17.97988546378742,2606.1120351178256,-328.7998488671308,26,-5.13,Value
LODHA,16.16,37.2660080453799,1413.2699421274494,-333.8103827159794,27,-27.45,Growth
TATACONSUM,11.128,1.3884382870309482,1398.9573450184744,-344.80218285415776,28,-7.35,Stable
EICHERMOT,60.468,4.011858065962465,1492.928426329002,-347.6407562591636,29,-16.82,Stable
ADANIGREEN,30.924,27.982921874462008,1489.1019461260005,-350.1118638754384,30,17.51,Growth
BRITANNIA,54.06,1.0393224029948154,1524.2887791137891,-359.0844319373991,31,2.85,Stable
SIEMENS,34.080000000000005,21.88537201051335,1561.0298402663188,-368.96557986290003,32,-17.33,Growth
TRENT,31.924000000000003,17.556854940741196,1767.1530344788584,-422.8737593904552,33,-25.87,Stable
ZYDUSLIFE,0.0,8.655448372282075,1878.1987087615985,-466.5202702601009,34,0.34,Stable
HAVELLS,15.828,8.550381773404228,1914.170574886479,-469.2188101009283,35,-14.35,Stable
NESTLEIND,66.6,-13.75987196878368,2010.1330166504767,-480.70920935169346,36,-17.88,Stable
SHREECEM,153.948,-1.4014911554017837,2179.1087465577675,-483.6885085438325,37,-7.28,Value
APOLLOHOSP,28.192,15.322868222600633,2239.773860224791,-543.3036611782875,38,1.32,Stable
VBL,0.0,16.474430961083243,2237.335195346481,-553.5677480002412,39,-2.25,Stable
DRREDDY,36.396,3.6631037704172944,2419.14259235104,-588.945161768114,40,-3.64,Stable
ZOMATO,0.0,54.89846458642893,2481.690531600498,-601.2081702948744,41,-1.91,Stable
ADANIENSOL,15.784,-7.072846543132782,2774.0601547133447,-689.6769349684326,42,0.18,Stable
IRFC,36.716,1.1656013711390036,3149.2758824685416,-772.2246101372367,43,1.77,Stable
ADANIPORTS,34.94,0.0,3145.8063944939518,-772.4755986234879,44,0.0,Stable
BHEL,1.66,26.368380542922896,3370.838569499641,-832.8167091848873,45,-24.72,Stable
BAJAJ-AUTO,99.444,1.8437684649501775,3735.871638278903,-893.5449906069932,46,-5.27,Stable
ASIANPAINT,35.272,-7.419738960441291,3637.255022384399,-897.8018642322543,47,0.76,Stable
AMBUJACEM,15.072,-7.693488622899016,4087.0168287757274,-1018.4181282119465,48,-11.93,Stable
INDUSINDBK,933.6,-0.8536582482709503,5628.239135422453,-1033.918564242508,49,3.79,High Risk
SHRIRAMFIN,26.448,14.93064930994139,4323.712437586346,-1065.123182138107,50,5.23,Stable
SUNPHARMA,26.436,7.766333315574387,4565.522300954364,-1128.08795857814,51,-6.15,Stable
TVSMOTOR,25.488,10.905341126959762,4599.097116515954,-1135.7622097345527,52,-1.26,Stable
RECLTD,54.66,5.437099466617195,4676.120565138833,-1145.2631564713922,53,-2.81,Stable
POWERGRID,38.348,0.329979349207544,4859.349437109988,-1199.3826665052743,54,0.26,Stable
LTIM,61.06,1.7195035452173686,5117.616834259258,-1254.3783823239885,55,3.03,High Risk
TATAPOWER,13.992,2.477463189214124,5221.891967671393,-1299.0090798016233,56,-9.05,High Risk
