company_id,year,sales,net_profit,net_profit_margin
BAJAJHLDNG,2023.0,522.0,4946.0,947.5095785440614
BAJAJHLDNG,2022.0,484.0,4126.0,852.4793388429752
NAUKRI,2022.0,1589.0,12882.0,810.6985525487728
BAJAJHLDNG,2021.0,457.0,3654.0,799.562363238512
BAJAJHLDNG,2020.0,435.0,3080.0,708.0459770114943
BAJAJHLDNG,2019.0,431.0,3048.0,707.1925754060325
BAJAJHLDNG,2018.0,420.0,2655.0,632.1428571428571
BAJAJHLDNG,2013.0,337.0,1856.0,550.7418397626113
BAJAJHLDNG,2016.0,470.0,2265.0,481.9148936170213
BAJAJHLDNG,2014.0,423.0,1988.0,469.97635933806146
BAJAJHLDNG,2024.0,1702.0,7365.0,432.7262044653349
BAJAJHLDNG,2015.0,524.0,2029.0,387.2137404580153
BAJAJHLDNG,2017.0,842.0,2473.0,293.70546318289786
NAUKRI,2021.0,1128.0,1418.0,125.70921985815602
JIOFIN,2024.0,1855.0,1605.0,86.52291105121293
VEDL,2013.0,2749.0,2280.0,82.93925063659513
JIOFIN,2023.0,45.0,31.0,68.88888888888889
DLF,2018.0,6707.0,4477.0,66.75115550916952
NAUKRI,2019.0,1151.0,592.0,51.433536055603824
NAUKRI,2018.0,988.0,501.0,50.708502024291505
ADANIPORTS,2017.0,8439.0,3902.0,46.23770588932338
ADANIPORTS,2017.0,8439.0,3902.0,46.23770588932338
ADANIPORTS,2013.0,3577.0,1639.0,45.820519988817445
ADANIPORTS,2013.0,3577.0,1639.0,45.820519988817445
NHPC,2013.0,6381.0,2873.0,45.02429086350102
DLF,2024.0,6427.0,2724.0,42.38369379181578
NHPC,2024.0,9632.0,4028.0,41.81893687707641
ADANIPOWER,2024.0,50351.0,20829.0,41.36759945184802
NHPC,2022.0,9144.0,3774.0,41.272965879265094
POWERGRID,2022.0,41622.0,16824.0,40.420931238287444
NHPC,2017.0,8623.0,3480.0,40.357184274614404
ADANIPORTS,2021.0,12550.0,5049.0,40.23107569721115
ADANIPORTS,2021.0,12550.0,5049.0,40.23107569721115
ADANIPORTS,2016.0,7109.0,2856.0,40.17442678295119
ADANIPORTS,2016.0,7109.0,2856.0,40.17442678295119
NHPC,2023.0,10607.0,4261.0,40.17158480248892
ADANIPORTS,2015.0,6152.0,2324.0,37.77633289986996
ADANIPORTS,2015.0,6152.0,2324.0,37.77633289986996
NHPC,2021.0,9648.0,3600.0,37.3134328358209
ADANIPORTS,2019.0,10925.0,4045.0,37.02517162471396
ADANIPORTS,2019.0,10925.0,4045.0,37.02517162471396
BAJAJFINSV,2014.0,6023.0,2191.0,36.37722065415906
ADANIPORTS,2014.0,4830.0,1741.0,36.04554865424431
ADANIPORTS,2014.0,4830.0,1741.0,36.04554865424431
NHPC,2018.0,7755.0,2785.0,35.912314635718886
KOTAKBANK,2022.0,33741.0,12089.0,35.82881360955514
DLF,2023.0,5695.0,2034.0,35.71553994732221
KOTAKBANK,2023.0,42151.0,14925.0,35.40841261180043
IRCTC,2022.0,1879.0,660.0,35.125066524747204
NHPC,2015.0,8221.0,2798.0,34.03478895511495
POWERGRID,2024.0,45843.0,15573.0,33.97028990249329
POWERGRID,2023.0,45603.0,15420.0,33.81356489704624
NHPC,2020.0,10008.0,3345.0,33.42326139088729
DIVISLAB,2022.0,8960.0,2960.0,33.035714285714285
POWERGRID,2013.0,13081.0,4313.0,32.97148536044645
ADANIPORTS,2018.0,11323.0,3690.0,32.588536606906295
ADANIPORTS,2018.0,11323.0,3690.0,32.588536606906295
KOTAKBANK,2024.0,56237.0,18213.0,32.386151466116615
ADANIPORTS,2020.0,11873.0,3785.0,31.8790533142424
ADANIPORTS,2020.0,11873.0,3785.0,31.8790533142424
ITC,2020.0,49388.0,15593.0,31.57244674819794
NHPC,2019.0,8983.0,2836.0,31.570744740064566
SUNPHARMA,2013.0,11131.0,3469.0,31.165214266463032
ZYDUSLIFE,2022.0,15110.0,4618.0,30.562541363335537
DIVISLAB,2014.0,2532.0,773.0,30.529225908372826
KOTAKBANK,2021.0,32820.0,9990.0,30.438756855575868
POWERGRID,2021.0,39640.0,12036.0,30.363269424823407
ADANIPORTS,2024.0,26711.0,8104.0,30.339560480700833
ADANIPORTS,2024.0,26711.0,8104.0,30.339560480700833
IRFC,2022.0,20299.0,6090.0,30.001477905315532
DIVISLAB,2016.0,3776.0,1126.0,29.81991525423729
RECLTD,2024.0,47517.0,14145.0,29.7682934528695
POWERGRID,2020.0,37744.0,11059.0,29.300021195421788
ICICIBANK,2023.0,121067.0,35461.0,29.290392922926973
ITC,2024.0,70866.0,20751.0,29.282025230717128
POWERGRID,2014.0,15555.0,4548.0,29.238187078109934
POWERGRID,2017.0,25697.0,7451.0,28.995602599525238
ADANIENSOL,2018.0,3944.0,1143.0,28.98073022312373
ADANIPORTS,2022.0,17119.0,4953.0,28.93276476429698
ADANIPORTS,2022.0,17119.0,4953.0,28.93276476429698
PFC,2024.0,91508.0,26461.0,28.916597455960137
