company_id,year,sales,operating_profit,opm_percentage
COALINDIA,2024.0,142324.0,94352.0,47971.0
COALINDIA,2023.0,138252.0,94020.0,44232.0
HDFCBANK,2023.0,170754.0,63042.0,29932.0
HINDALCO,2022.0,195059.0,166712.0,28347.0
COALINDIA,2019.0,99586.0,74579.0,25007.0
COALINDIA,2022.0,109715.0,84995.0,24721.0
HINDALCO,2024.0,215962.0,192090.0,23872.0
HINDALCO,2023.0,223202.0,200536.0,22666.0
COALINDIA,2020.0,96080.0,74500.0,21581.0
HDFCBANK,2022.0,135936.0,56557.0,20795.0
BAJFINANCE,2024.0,54972.0,16099.0,19987.0
COALINDIA,2016.0,77861.0,59147.0,18714.0
COALINDIA,2021.0,90026.0,71398.0,18628.0
COALINDIA,2013.0,68303.0,50216.0,18087.0
COALINDIA,2014.0,70608.0,52842.0,17766.0
HINDALCO,2021.0,132008.0,114449.0,17559.0
COALINDIA,2015.0,74120.0,56777.0,17343.0
HDFCBANK,2021.0,128552.0,52457.0,16848.0
HDFCBANK,2019.0,105161.0,34856.0,16592.0
INDIGO,2024.0,68904.0,52573.0,16331.0
BAJFINANCE,2023.0,41411.0,12693.0,16018.0
HINDALCO,2019.0,130542.0,115031.0,15511.0
HINDUNILVR,2024.0,61896.0,47237.0,14659.0
HDFCBANK,2020.0,122189.0,45459.0,14593.0
HINDALCO,2020.0,118144.0,103838.0,14306.0
HINDUNILVR,2023.0,60580.0,46433.0,14147.0
AXISBANK,2023.0,85164.0,29089.0,13857.0
HINDALCO,2018.0,115183.0,101488.0,13695.0
HDFCBANK,2018.0,85288.0,29532.0,13374.0
HINDUNILVR,2022.0,52446.0,39589.0,12857.0
COALINDIA,2017.0,78164.0,65716.0,12448.0
HINDALCO,2017.0,100184.0,87867.0,12317.0
AXISBANK,2024.0,109369.0,37943.0,11952.0
HINDUNILVR,2021.0,47028.0,35402.0,11626.0
HDFCBANK,2017.0,73271.0,23856.0,11374.0
BAJFINANCE,2022.0,31641.0,11880.0,9906.0
HINDUNILVR,2020.0,39783.0,29922.0,9861.0
COALINDIA,2018.0,85244.0,75956.0,9288.0
HDFCBANK,2016.0,63162.0,20055.0,9037.0
HINDUNILVR,2019.0,39310.0,30430.0,8880.0
HINDALCO,2015.0,104281.0,95437.0,8844.0
HINDALCO,2014.0,87695.0,79671.0,8024.0
HINDALCO,2016.0,98759.0,90981.0,7778.0
HINDALCO,2013.0,80193.0,72494.0,7699.0
BAJFINANCE,2020.0,26374.0,9159.0,7608.0
HINDUNILVR,2018.0,35545.0,28046.0,7499.0
HDFCBANK,2015.0,50666.0,16164.0,7214.0
INDIGO,2023.0,54446.0,47926.0,6521.0
BANKBARODA,2023.0,94503.0,38231.0,6329.0
HINDUNILVR,2017.0,33162.0,26834.0,6328.0
BAJFINANCE,2021.0,26673.0,10839.0,6314.0
BAJFINANCE,2019.0,18487.0,5454.0,6310.0
CIPLA,2024.0,25774.0,19483.0,6291.0
HINDUNILVR,2016.0,32186.0,26276.0,5910.0
HDFCBANK,2014.0,42555.0,13508.0,5602.0
HINDUNILVR,2015.0,31972.0,26560.0,5412.0
HEROMOTOCO,2018.0,32458.0,27124.0,5334.0
HEROMOTOCO,2024.0,37789.0,32554.0,5235.0
CIPLA,2023.0,22753.0,17726.0,5027.0
HEROMOTOCO,2019.0,33971.0,28946.0,5025.0
HINDUNILVR,2014.0,29234.0,24475.0,4759.0
HEROMOTOCO,2017.0,28610.0,24025.0,4585.0
CIPLA,2022.0,21763.0,17211.0,4553.0
CHOLAFIN,2024.0,19163.0,5385.0,4548.0
HEROMOTOCO,2016.0,28457.0,24033.0,4424.0
CIPLA,2021.0,19160.0,14907.0,4252.0
HINDUNILVR,2013.0,27004.0,22784.0,4220.0
BANKBARODA,2024.0,118379.0,44379.0,4102.0
HEROMOTOCO,2023.0,34158.0,30060.0,4099.0
HEROMOTOCO,2020.0,29254.0,25184.0,4070.0
INDIGO,2020.0,35756.0,31687.0,4069.0
HEROMOTOCO,2021.0,30959.0,26902.0,4058.0
BAJFINANCE,2018.0,12746.0,4115.0,3935.0
HEROMOTOCO,2014.0,25275.0,21722.0,3553.0
HDFCBANK,2013.0,35861.0,12631.0,3534.0
HEROMOTOCO,2015.0,27538.0,24018.0,3520.0
CHOLAFIN,2023.0,12884.0,3621.0,3515.0
AXISBANK,2016.0,40988.0,13367.0,3466.0
HEROMOTOCO,2022.0,29551.0,26295.0,3256.0
CIPLA,2020.0,17132.0,13926.0,3206.0
AXISBANK,2022.0,67377.0,29962.0,3170.0
INDIGO,2016.0,16140.0,12976.0,3164.0
CIPLA,2019.0,16362.0,13265.0,3097.0
AXISBANK,2015.0,35479.0,11127.0,3097.0
INDIGO,2018.0,23021.0,19991.0,3030.0
INDUSINDBK,2024.0,45748.0,17638.0,2978.0
CHOLAFIN,2022.0,10148.0,2926.0,2924.0
BAJFINANCE,2017.0,9970.0,3250.0,2867.0
CIPLA,2018.0,15156.0,12329.0,2826.0
ICICIGI,2024.0,20487.0,17910.0,2577.0
CIPLA,2017.0,14394.0,11898.0,2496.0
CIPLA,2016.0,13790.0,11310.0,2480.0
AXISBANK,2014.0,30641.0,9644.0,2307.0
INDIGO,2017.0,18580.0,16362.0,2219.0
CIPLA,2013.0,8279.0,6065.0,2214.0
CIPLA,2015.0,11345.0,9183.0,2163.0
CIPLA,2014.0,10173.0,8026.0,2147.0
CHOLAFIN,2021.0,9583.0,2913.0,2094.0
ICICIGI,2021.0,12161.0,10090.0,2072.0
INDUSINDBK,2023.0,36368.0,15525.0,2067.0
BAJFINANCE,2016.0,7299.0,2354.0,1986.0
INDIGO,2015.0,13925.0,12022.0,1904.0
CHOLAFIN,2019.0,7108.0,1632.0,1888.0
ICICIPRULI,2016.0,20849.0,19008.0,1842.0
ICICIPRULI,2017.0,37816.0,36010.0,1806.0
ICICIGI,2020.0,11517.0,9745.0,1772.0
ICICIPRULI,2018.0,38832.0,37062.0,1771.0
CHOLAFIN,2020.0,8712.0,2421.0,1699.0
ICICIGI,2019.0,11163.0,9494.0,1669.0
ICICIPRULI,2015.0,34453.0,32798.0,1655.0
ICICIPRULI,2014.0,21888.0,20384.0,1504.0
CHOLAFIN,2018.0,5559.0,1451.0,1451.0
BAJFINANCE,2015.0,5392.0,1752.0,1367.0
AXISBANK,2013.0,27183.0,8313.0,1353.0
ICICIGI,2023.0,17876.0,16612.0,1264.0
HDFCLIFE,2021.0,71528.0,70294.0,1235.0
HDFCLIFE,2019.0,38855.0,37640.0,1215.0
CHOLAFIN,2017.0,4694.0,1322.0,1143.0
HDFCLIFE,2020.0,29380.0,28239.0,1141.0
HDFCLIFE,2018.0,32260.0,31186.0,1074.0
ICICIGI,2022.0,16026.0,15010.0,1016.0
BANKBARODA,2013.0,36442.0,10950.0,1006.0
