company_id,year,return_on_equity_pct
INDIGO,2013,17886.36
BEL,2015,17100.0
BEL,2013,15183.33
BEL,2014,13600.0
BEL,2016,11141.67
INDIGO,2014,10772.73
BEL,2017,10153.33
INDIGO,2015,4939.39
BEL,2024,4744.05
BEL,2018,4616.13
BEL,2023,3981.33
BEL,2019,3851.02
HAL,2024,3816.58
BEL,2021,3559.32
BEL,2022,3478.26
HAL,2022,3324.18
BEL,2020,3318.18
HAL,2023,3283.05
HAL,2021,2249.31
INDIGO,2018,2242.0
HAL,2020,2059.42
HAL,2017,1966.92
HAL,2019,1763.91
INDIGO,2017,1692.86
INDIGO,2016,1534.78
HAL,2018,1528.46
INDIGO,2024,892.57
PNB,2013,812.3
PNB,2013,812.3
PNB,2013,812.3
PNB,2013,812.3
PNB,2013,812.3
LT,2013,395.15
PNB,2014,393.36
PNB,2014,393.36
PNB,2014,393.36
PNB,2014,393.36
PNB,2014,393.36
LICI,2019,324.32
LT,2014,303.42
LICI,2020,270.46
LT,2015,245.11
PNB,2015,223.24
PNB,2015,223.24
PNB,2015,223.24
PNB,2015,223.24
PNB,2015,223.24
LT,2016,216.09
LT,2019,208.81
LT,2018,207.36
LT,2017,206.3
LT,2020,201.59
LT,2021,176.9
HINDUNILVR,2013,134.0
NESTLEIND,2023,121.96
INDIGO,2019,120.93
NESTLEIND,2024,117.75
HINDUNILVR,2014,111.85
NESTLEIND,2021,108.84
HINDUNILVR,2015,108.67
NESTLEIND,2020,103.12
NESTLEIND,2019,102.61
NESTLEIND,2022,97.23
HINDUNILVR,2020,82.1
LICI,2023,77.86
LT,2024,77.66999999999999
HINDUNILVR,2019,77.03
LT,2023,75.52
NAUKRI,2022,74.71
LT,2022,72.92
HINDUNILVR,2018,71.78999999999999
HINDUNILVR,2017,66.58
COALINDIA,2019,66.01
BRITANNIA,2023,65.53
HINDUNILVR,2016,63.14999999999999
LTIM,2014,61.86000000000001
PNB,2024,61.31999999999999
PNB,2024,61.31999999999999
PNB,2024,61.31999999999999
PNB,2024,61.31999999999999
PNB,2024,61.31999999999999
BRITANNIA,2022,59.27
BRITANNIA,2015,55.34
BRITANNIA,2024,54.15
BRITANNIA,2021,52.17
COALINDIA,2023,52.14
COALINDIA,2020,51.93
TCS,2024,50.94
TORNTPHARM,2016,49.6
BRITANNIA,2014,49.5
LICI,2024,49.45
