rank,company_id,Performance_Score,growth_score,risk_score,overall_score,value_at_risk,investment_category,recommendation
1,COALINDIA,14427.668,-3.7925291207498746,10803.945328491076,3068.753482684969,-4.77,High Risk,SELL
2,BAJFINANCE,6073.535999999999,7.91324871131858,7672.010722258401,514.181356484361,6.61,High Risk,SELL
3,HINDUNILVR,4418.928,2.342267181420356,5183.738846451552,472.4562819006094,0.96,High Risk,SELL
8,BAJAJHLDNG,228.932,1.385716895501718,218.83820336890443,37.3482500711995,-28.22,Value,SELL
9,CHOLAFIN,1383.684,12.022312735342506,2478.949967464321,-62.05608240871038,8.15,Value,SELL
10,ABB,189.988,4.281682970921395,577.5806258495247,-66.90136742255869,2.3,Value,SELL
11,NAUKRI,22.388,-0.9706014898072794,307.55609399061376,-68.27353401908599,-5.11,Stable,SELL
12,INDIGO,5319.928,-5.855329215445411,8950.814262797996,-111.78173092490488,-20.53,High Risk,SELL
13,NHPC,20.364,-5.826663521462718,474.9845918293863,-112.63988018985852,-9.59,Stable,SELL
14,UNITDSPR,0.0,1.5961738442636777,462.3235147147872,-115.02221783320452,-12.33,Stable,SELL
15,IRCTC,28.16,4.937341509326577,542.4477651892201,-122.61987176904074,-37.72,Stable,SELL
16,DLF,15.964,22.368317215345414,550.4811442959777,-123.40577504862354,-22.41,Growth,SELL
17,JSWENERGY,20.412,5.854775694165803,546.7069999390393,-126.4627784918018,-16.09,Stable,SELL
18,ATGL,0.0,3.1374301675977656,586.0721271027155,-145.41993121701967,-6.02,Stable,SELL
19,BOSCHLTD,265.356,-5.510550121812052,1142.838272644515,-181.49586070376296,-19.09,Value,SELL
20,DABUR,16.044,-0.9877845286365828,837.0797622477194,-203.19806514695264,-1.07,Stable,SELL
21,DIVISLAB,31.116,9.820968769917146,958.4088635427264,-223.7184768162106,-8.33,Stable,SELL
22,TORNTPHARM,33.66,7.116039295788347,997.799300757078,-233.4952114357436,-5.4,Stable,SELL
23,JIOFIN,26.56,2.4865019187008257,998.9012567270352,-238.2310385102135,206.9,Stable,SELL
24,GODREJCP,3.02,-7.541624430186892,996.8286037045028,-250.6387194766911,-1.54,Stable,SELL
25,PIDILITIND,25.112,6.847846732652891,1264.387310017475,-303.6552811479403,1.67,Stable,SELL
26,ICICIGI,791.088,17.97988546378742,2606.1120351178256,-328.7998488671308,-5.13,Value,SELL
27,LODHA,16.16,37.2660080453799,1413.2699421274494,-333.8103827159794,-27.45,Growth,SELL
28,TATACONSUM,11.128,1.3884382870309482,1398.9573450184744,-344.80218285415776,-7.35,Stable,SELL
29,EICHERMOT,60.468,4.011858065962465,1492.928426329002,-347.6407562591636,-16.82,Stable,SELL
30,ADANIGREEN,30.924,27.982921874462008,1489.1019461260005,-350.1118638754384,17.51,Growth,SELL
31,BRITANNIA,54.06,1.0393224029948154,1524.2887791137891,-359.0844319373991,2.85,Stable,SELL
32,SIEMENS,34.080000000000005,21.88537201051335,1561.0298402663188,-368.9655798629,-17.33,Growth,SELL
33,TRENT,31.924000000000003,17.556854940741196,1767.1530344788584,-422.8737593904552,-25.87,Stable,SELL
34,ZYDUSLIFE,0.0,8.655448372282075,1878.1987087615985,-466.5202702601009,0.34,Stable,SELL
35,HAVELLS,15.828,8.550381773404228,1914.170574886479,-469.2188101009283,-14.35,Stable,SELL
36,NESTLEIND,66.6,-13.75987196878368,2010.1330166504767,-480.7092093516935,-17.88,Stable,SELL
37,SHREECEM,153.948,-1.4014911554017837,2179.1087465577675,-483.6885085438325,-7.28,Value,SELL
38,APOLLOHOSP,28.192,15.322868222600633,2239.773860224791,-543.3036611782875,1.32,Stable,SELL
39,VBL,0.0,16.474430961083243,2237.335195346481,-553.5677480002412,-2.25,Stable,SELL
40,DRREDDY,36.396,3.6631037704172944,2419.14259235104,-588.945161768114,-3.64,Stable,SELL
41,ZOMATO,0.0,54.89846458642893,2481.690531600498,-601.2081702948744,-1.91,Stable,SELL
42,ADANIENSOL,15.784,-7.072846543132782,2774.0601547133447,-689.6769349684326,0.18,Stable,SELL
43,IRFC,36.716,1.1656013711390036,3149.2758824685416,-772.2246101372367,1.77,Stable,SELL
44,ADANIPORTS,34.94,0.0,3145.806394493952,-772.4755986234879,0.0,Stable,SELL
45,BHEL,1.66,26.368380542922896,3370.838569499641,-832.8167091848873,-24.72,Stable,SELL
46,BAJAJ-AUTO,99.444,1.843768464950177,3735.871638278903,-893.5449906069932,-5.27,Stable,SELL
47,ASIANPAINT,35.272,-7.419738960441291,3637.255022384399,-897.8018642322543,0.76,Stable,SELL
48,AMBUJACEM,15.072,-7.693488622899016,4087.016828775728,-1018.4181282119464,-11.93,Stable,SELL
49,INDUSINDBK,933.6,-0.8536582482709503,5628.239135422453,-1033.918564242508,3.79,High Risk,SELL
50,SHRIRAMFIN,26.448,14.93064930994139,4323.712437586346,-1065.123182138107,5.23,Stable,SELL
51,SUNPHARMA,26.436,7.766333315574387,4565.522300954364,-1128.08795857814,-6.15,Stable,SELL
52,TVSMOTOR,25.488,10.905341126959762,4599.097116515954,-1135.7622097345527,-1.26,Stable,SELL
53,RECLTD,54.66,5.437099466617195,4676.120565138833,-1145.2631564713922,-2.81,Stable,SELL
54,POWERGRID,38.348,0.329979349207544,4859.349437109988,-1199.3826665052743,0.26,Stable,SELL
55,LTIM,61.06,1.7195035452173686,5117.616834259258,-1254.3783823239885,3.03,High Risk,SELL
56,TATAPOWER,13.992,2.477463189214124,5221.891967671393,-1299.009079801623,-9.05,High Risk,SELL
57,ADANIPOWER,46.312,-12.222587545374338,5356.802016221054,-1324.953609696145,-10.52,High Risk,SELL
58,TECHM,13.496,23.36467010411218,5618.714688986151,-1391.1026377100984,-0.58,High Risk,SELL
59,JINDALSTEL,28.764,-6.209242266586657,5611.372475658544,-1393.5107537079414,-13.51,High Risk,SELL
60,ITC,27.04,2.559972352367238,5785.941654071009,-1434.7734231944237,-0.16,High Risk,SELL
61,AXISBANK,3616.232,6.582783049496039,11654.917495790312,-1464.9325998802544,2.04,High Risk,SELL
62,TITAN,29.588,-0.2528137350658772,6157.30196013452,-1527.5787748409032,-0.86,High Risk,SELL
63,DMART,19.524,7.961571449840136,7124.151481866862,-1770.4417204592714,5.64,High Risk,SELL
64,WIPRO,0.0,4.521831194680896,7291.62648721412,-1821.323980885392,-1.37,High Risk,SELL
65,ULTRACEMCO,82.952,-4.063967251006663,7483.517034141175,-1839.120847073146,0.74,High Risk,SELL
66,BANKBARODA,1247.704,4.650826576239381,11902.907563655332,-2475.0175016121493,-4.21,High Risk,SELL
67,PNB,0.0,26.08205855282825,10067.088593741551,-2507.643427941898,-6.1,High Risk,SELL
68,HINDALCO,7178.928,10.68167614567165,21578.457140306564,-2519.304498425656,-7.19,High Risk,SELL
69,MOTHERSON,8.52,18.94194286432095,10236.738568656814,-2549.146962161691,-4.91,High Risk,SELL
