rank,company_id,Performance_Score,growth_score,risk_score,overall_score,value_at_risk,investment_category,recommendation
1,COALINDIA,14427.668,-3.7925291207498746,10803.945328491076,3068.753482684969,-4.77,High Risk,SELL
2,BAJFINANCE,6073.535999999999,7.91324871131858,7672.010722258401,514.181356484361,6.61,High Risk,SELL
3,HINDUNILVR,4418.928,2.342267181420356,5183.738846451552,472.4562819006094,0.96,High Risk,SELL
4,BEL,1906.62,8.16036404525655,2098.7757045189774,240.81020128609543,3.8,Value,HOLD
5,HEROMOTOCO,1635.056,6.623680599323208,1747.9708141907313,219.3479846620803,-9.22,Value,BUY
6,CIPLA,1908.82,9.89438995656441,2345.399098106464,180.64126195818156,4.47,Value,HOLD
7,HAL,1570.432,5.636569527934448,2261.6264271327445,64.73899255159097,2.89,Value,HOLD
8,BAJAJHLDNG,228.932,1.385716895501718,218.83820336890443,37.3482500711995,-28.22,Value,SELL
9,CHOLAFIN,1383.684,12.022312735342506,2478.949967464321,-62.05608240871038,8.15,Value,SELL
10,ABB,189.988,4.281682970921395,577.5806258495247,-66.90136742255869,2.3,Value,SELL
