company_id,sales_volatility
RELIANCE,231204.3193498461
ONGC,186806.78772114334
IOC,166741.7871573382
LICI,116169.28194152495
BPCL,97800.2870850094
SBIN,92049.49222697313
HDFCBANK,90262.06141101956
TATAMOTORS,73529.01578000977
TCS,61307.82415736392
HINDALCO,53931.1113124645
JSWSTEEL,51909.65719821214
LT,50855.71484299781
TATASTEEL,50595.77771656038
ICICIBANK,42570.691722484014
NTPC,42154.61642678941
VEDL,41172.12149108815
SBILIFE,41100.84024688546
INFY,41095.681693566956
GRASIM,39609.414772118806
BAJAJFINSV,38746.15115178439
GAIL,35366.32070313398
MARUTI,33821.11372637376
HCLTECH,31033.66234306027
HDFCLIFE,30904.592156075014
ADANIENT,30102.001427198767
BANKBARODA,29743.85085340739
AXISBANK,29133.930038262242
UNIONBANK,28936.73525522133
CANBK,28120.306311932716
PFC,28063.930070922732
COALINDIA,26998.29300278265
BHARTIARTL,26888.85239634276
M&M,26328.784096010942
MOTHERSON,25580.399227553615
PNB,25154.476769069177
ICICIPRULI,24924.418563544652
INDIGO,22312.768047373625
BAJFINANCE,19176.68759102146
ULTRACEMCO,18704.310423275605
WIPRO,18224.87854765905
DMART,17804.99374311341
KOTAKBANK,16256.564247743916
TITAN,15383.615772749583
ITC,14463.065221541528
INDUSINDBK,14068.038713922075
TECHM,14021.958924377259
JINDALSTEL,13995.903533919103
ADANIPOWER,13357.862796869864
TATAPOWER,13030.075630474961
HINDUNILVR,12959.662409044853
LTIM,12781.114450726278
POWERGRID,12146.750892464606
RECLTD,11681.701829828804
TVSMOTOR,11489.17880007096
SUNPHARMA,11391.69260627662
SHRIRAMFIN,10803.255532002546
AMBUJACEM,10189.84089229348
BAJAJ-AUTO,9329.605905876964
ASIANPAINT,9089.189975473966
BHEL,8369.319691741028
IRFC,7871.177165733152
ADANIPORTS,7856.560210324969
ADANIENSOL,6925.362886783361
ICICIGI,6501.807666787555
CHOLAFIN,6195.812717535064
ZOMATO,6156.3125892394855
DRREDDY,6038.754067877552
CIPLA,5861.513492527072
HAL,5653.878099508563
APOLLOHOSP,5590.660077536829
VBL,5577.73261189021
SHREECEM,5430.985671033791
BEL,5247.092994929278
NESTLEIND,5005.822536729681
HAVELLS,4757.283742070058
ZYDUSLIFE,4692.625047170648
TRENT,4380.069637076678
HEROMOTOCO,4356.399155961331
SIEMENS,3877.522626587364
BRITANNIA,3810.639859790694
EICHERMOT,3702.8873280323514
ADANIGREEN,3693.5936092104125
TATACONSUM,3478.0538656420617
LODHA,3471.5057344187935
PIDILITIND,3158.2312601055182
BOSCHLTD,2834.6834784640287
GODREJCP,2485.994641783115
TORNTPHARM,2478.0188944044876
DIVISLAB,2380.3098887889923
DABUR,2090.336183242868
ATGL,1444.853520751696
ABB,1443.650891814187
JSWENERGY,1338.7564264012963
DLF,1333.621625884059
IRCTC,1280.6080019059127
NHPC,1175.4312956397034
UNITDSPR,1134.953557165701
JIOFIN,1079.1044126187853
NAUKRI,748.6602306959019
BAJAJHLDNG,477.3301684825607
